ativo,preco,data_hora
Boi,239.2,1708447946.142567
Soja,115.86,1708447951.828698
Milho,62.57,1708447957.802863
Café,1016.28,1708447963.404359
Suino,6.44,1708447969.397554
Bezerro,1903.69,1708447975.001672
